uuid,Kunde,Zaehlernummer,Datum,Kommentar,Kommentar
d58949fd-ea6a-4deb-9a49-9b15c62388cc,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,30.09.2022,3.435,\N
c18932f5-f150-4fa6-b571-da18a7941e8a,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,29.10.2022,3.641,\N
fb612321-391c-47f7-bb54-e14e6fc8361a,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,28.11.2022,3.855,\N
8a5c961a-cefe-4e5a-975a-68a710802ba3,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,31.12.2022,4.115,\N
e9cdd69e-e1ea-4672-92eb-c97504e59201,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.03.2023,4.612,\N
9ad08ae3-e574-4000-aa00-192cbada03a3,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.05.2023,5.103,\N
4fd6ccf1-6b3c-406d-bcdc-90e0f9ed6718,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,31.05.2023,5.352,\N
2f1d7f48-c116-48a1-9640-f51dca3ce9ed,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.08.2023,5.803,\N
cca05f6c-1471-4ffe-a0de-b5525e2d378e,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,31.08.2023,5.996,\N
e1ee506f-a8f3-452a-8bfd-4a254ed2ecb8,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,19.09.2023,6.129,\N
4dab7392-a32a-40c7-95c5-cd69d817639e,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,20.09.2023,6.135,\N
097718e0-5fba-4543-b177-0898bab3d72d,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,21.09.2023,6.145,\N
d5d93644-09d8-450d-a454-63b10a29d382,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,22.09.2023,6.151,\N
e8246194-3005-4fcc-b555-fc0bab19f7f5,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,23.09.2023,6.157,\N
d335ddd5-26d8-4836-aaf4-935d24bf8b2f,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,30.09.2023,6.208,\N
2eba126f-7c69-4fa6-8444-26693aea2189,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,30.10.2023,6.428,\N
df207af8-b34d-4512-b684-e3cddf8986ae,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,25.11.2023,6.637,\N
23bb6394-9847-4884-aa76-92a66e4b405b,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.12.2023,6.741,\N
de072d9c-6553-400f-8e4c-3465f4434cba,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,08.12.2023,6.967,\N
58953126-6d3b-489b-9e42-2f1d3ffa7c3b,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,31.12.2023,7.197,\N
d6123f62-1e7c-4428-a8e6-50fc91dc0b15,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,03.02.2024,7.589,\N
f04b1701-e85a-4927-b313-2bcdb1d74b5f,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,31.03.2024,8.108,\N
6a557a2f-e86c-4840-9c22-e857402bd1fb,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.05.2024,8.38,\N
